"opponent","date","score","w_l","fgm_a","pct","x3fg_a","pct_2","ftm_a","pct_3","off","def","tot","avg","pf","ast","to","blk","stl","pts","avg_2","season"
"WPI",2016-01-14,"65-48","W","28-61",0.459,"5-19",0.263,"4-7",0.571,10,28,38,39.1,14,9,13,5,8,65,64.5,"2015-16"
"Wheaton (Mass.)",2016-01-16,"74-77","L","25-65",0.385,"7-20",0.35,"17-22",0.773,12,27,39,39.1,19,14,10,8,3,74,65.2,"2015-16"
"Middlebury",2016-01-19,"70-57","W","24-52",0.462,"4-11",0.364,"18-26",0.692,12,34,46,39.5,12,14,17,2,6,70,65.5,"2015-16"
"MHC",2016-01-20,"31-80","L","10-42",0.238,"3-8",0.375,"8-10",0.8,6,19,25,38.6,13,4,27,1,3,31,63.4,"2015-16"
"MIT",2016-01-23,"66-34","W","26-54",0.481,"1-7",0.143,"13-21",0.619,13,25,38,38.6,11,12,12,7,7,66,63.5,"2015-16"
"Coast Guard",2016-01-27,"75-65","W","25-73",0.342,"8-27",0.296,"17-23",0.739,22,33,55,39.5,26,16,17,1,2,75,64.2,"2015-16"
"Rivier",2014-11-15,"58-67","L","18-52",0.346,"1-14",0.071,"21-25",0.84,3,28,31,31,16,11,18,3,8,58,58,"2014-15"
"Middlebury",2014-11-16,"67-50","W","18-41",0.439,"6-13",0.462,"25-30",0.833,8,32,40,35.5,15,9,25,4,8,67,62.5,"2014-15"
"Williams",2014-11-18,"86-49","W","35-70",0.5,"7-16",0.438,"9-11",0.818,12,38,50,40.3,15,20,16,6,10,86,70.3,"2014-15"
"Keene State",2014-11-22,"77-63","W","26-75",0.347,"7-23",0.304,"18-26",0.692,25,29,54,43.8,20,16,11,2,12,77,72,"2014-15"
"Wentworth",2014-11-25,"48-44","W","20-48",0.417,"1-7",0.143,"7-13",0.538,11,26,37,42.4,13,14,22,4,12,48,67.2,"2014-15"
"Springfield",2014-12-03,"57-40","W","22-62",0.355,"5-20",0.25,"8-11",0.727,17,21,38,41.7,14,16,14,2,8,57,65.5,"2014-15"
"Clark University",2014-12-06,"53-39","W","17-52",0.327,"3-11",0.273,"16-25",0.64,15,38,53,43.3,19,10,26,5,8,53,63.7,"2014-15"
"Westfield State",2014-12-09,"67-80","L","18-72",0.25,"3-15",0.2,"28-35",0.8,25,20,45,43.5,19,8,17,1,17,67,64.1,"2014-15"
"Bridgewater State",2014-12-31,"41-65","L","17-44",0.386,"1-5",0.2,"6-12",0.5,3,15,18,40.7,13,8,20,5,8,41,61.6,"2014-15"
"Wellesley",2015-01-03,"61-72","L","19-44",0.432,"7-13",0.538,"16-20",0.8,7,22,29,39.5,19,12,20,0,4,61,61.5,"2014-15"
"Babson College",2015-01-07,"67-53","W","26-51",0.51,"4-12",0.333,"11-16",0.688,9,33,42,39.7,19,18,24,4,3,67,62,"2014-15"
